        x               y               z               N
        0.3333300000    0.3333300000    0.0500000000    1.0
        0.3333300000    0.3333300000    0.1000000000    1.0
        0.3333300000    0.3333300000    0.1500000000    1.0
        0.3333300000    0.3333300000    0.2000000000    1.0
        0.3333300000    0.3333300000    0.2500000000    1.0
        0.3333300000    0.3333300000    0.3000000000    1.0
        0.3333300000    0.3333300000    0.3500000000    1.0
        0.3333300000    0.3333300000    0.4000000000    1.0
        0.3333300000    0.3333300000    0.4500000000    1.0
        0.3333300000    0.3333300000    0.5000000000    1.0
        0.3383806061    0.3232290909    0.5000000000    1.0
        0.3434312121    0.3131281818    0.5000000000    1.0
        0.3484818182    0.3030272727    0.5000000000    1.0
        0.3535324242    0.2929263636    0.5000000000    1.0
        0.3585830303    0.2828254545    0.5000000000    1.0
        0.3636336364    0.2727245455    0.5000000000    1.0
        0.3686842424    0.2626236364    0.5000000000    1.0
        0.3737348485    0.2525227273    0.5000000000    1.0
        0.3787854545    0.2424218182    0.5000000000    1.0
        0.3838360606    0.2323209091    0.5000000000    1.0
        0.3888866667    0.2222200000    0.5000000000    1.0
        0.3939372727    0.2121190909    0.5000000000    1.0
        0.3989878788    0.2020181818    0.5000000000    1.0
        0.4040384848    0.1919172727    0.5000000000    1.0
        0.4090890909    0.1818163636    0.5000000000    1.0
        0.4141396970    0.1717154545    0.5000000000    1.0
        0.4191903030    0.1616145455    0.5000000000    1.0
        0.4242409091    0.1515136364    0.5000000000    1.0
        0.4292915152    0.1414127273    0.5000000000    1.0
        0.4343421212    0.1313118182    0.5000000000    1.0
        0.4393927273    0.1212109091    0.5000000000    1.0
        0.4444433333    0.1111100000    0.5000000000    1.0
        0.4494939394    0.1010090909    0.5000000000    1.0
        0.4545445455    0.0909081818    0.5000000000    1.0
        0.4595951515    0.0808072727    0.5000000000    1.0
        0.4646457576    0.0707063636    0.5000000000    1.0
        0.4696963636    0.0606054545    0.5000000000    1.0
        0.4747469697    0.0505045455    0.5000000000    1.0
        0.4797975758    0.0404036364    0.5000000000    1.0
        0.4848481818    0.0303027273    0.5000000000    1.0
        0.4898987879    0.0202018182    0.5000000000    1.0
        0.4949493939    0.0101009091    0.5000000000    1.0
        0.5000000000    0.0000000000    0.5000000000    1.0
        0.4912280702    0.0000000000    0.5000000000    1.0
        0.4824561404    0.0000000000    0.5000000000    1.0
        0.4736842105    0.0000000000    0.5000000000    1.0
        0.4649122807    0.0000000000    0.5000000000    1.0
        0.4561403509    0.0000000000    0.5000000000    1.0
        0.4473684211    0.0000000000    0.5000000000    1.0
        0.4385964912    0.0000000000    0.5000000000    1.0
        0.4298245614    0.0000000000    0.5000000000    1.0
        0.4210526316    0.0000000000    0.5000000000    1.0
        0.4122807018    0.0000000000    0.5000000000    1.0
        0.4035087719    0.0000000000    0.5000000000    1.0
        0.3947368421    0.0000000000    0.5000000000    1.0
        0.3859649123    0.0000000000    0.5000000000    1.0
        0.3771929825    0.0000000000    0.5000000000    1.0
        0.3684210526    0.0000000000    0.5000000000    1.0
        0.3596491228    0.0000000000    0.5000000000    1.0
        0.3508771930    0.0000000000    0.5000000000    1.0
        0.3421052632    0.0000000000    0.5000000000    1.0
        0.3333333333    0.0000000000    0.5000000000    1.0
        0.3245614035    0.0000000000    0.5000000000    1.0
        0.3157894737    0.0000000000    0.5000000000    1.0
        0.3070175439    0.0000000000    0.5000000000    1.0
        0.2982456140    0.0000000000    0.5000000000    1.0
        0.2894736842    0.0000000000    0.5000000000    1.0
        0.2807017544    0.0000000000    0.5000000000    1.0
        0.2719298246    0.0000000000    0.5000000000    1.0
        0.2631578947    0.0000000000    0.5000000000    1.0
        0.2543859649    0.0000000000    0.5000000000    1.0
        0.2456140351    0.0000000000    0.5000000000    1.0
        0.2368421053    0.0000000000    0.5000000000    1.0
        0.2280701754    0.0000000000    0.5000000000    1.0
        0.2192982456    0.0000000000    0.5000000000    1.0
        0.2105263158    0.0000000000    0.5000000000    1.0
        0.2017543860    0.0000000000    0.5000000000    1.0
        0.1929824561    0.0000000000    0.5000000000    1.0
        0.1842105263    0.0000000000    0.5000000000    1.0
        0.1754385965    0.0000000000    0.5000000000    1.0
        0.1666666667    0.0000000000    0.5000000000    1.0
        0.1578947368    0.0000000000    0.5000000000    1.0
        0.1491228070    0.0000000000    0.5000000000    1.0
        0.1403508772    0.0000000000    0.5000000000    1.0
        0.1315789474    0.0000000000    0.5000000000    1.0
        0.1228070175    0.0000000000    0.5000000000    1.0
        0.1140350877    0.0000000000    0.5000000000    1.0
        0.1052631579    0.0000000000    0.5000000000    1.0
        0.0964912281    0.0000000000    0.5000000000    1.0
        0.0877192982    0.0000000000    0.5000000000    1.0
        0.0789473684    0.0000000000    0.5000000000    1.0
        0.0701754386    0.0000000000    0.5000000000    1.0
        0.0614035088    0.0000000000    0.5000000000    1.0
        0.0526315789    0.0000000000    0.5000000000    1.0
        0.0438596491    0.0000000000    0.5000000000    1.0
        0.0350877193    0.0000000000    0.5000000000    1.0
        0.0263157895    0.0000000000    0.5000000000    1.0
        0.0175438596    0.0000000000    0.5000000000    1.0
        0.0087719298    0.0000000000    0.5000000000    1.0
        0.0000000000    0.0000000000    0.5000000000    1.0
        0.0000000000    0.0000000000    0.4500000000    1.0
        0.0000000000    0.0000000000    0.4000000000    1.0
        0.0000000000    0.0000000000    0.3500000000    1.0
        0.0000000000    0.0000000000    0.3000000000    1.0
        0.0000000000    0.0000000000    0.2500000000    1.0
        0.0000000000    0.0000000000    0.2000000000    1.0
        0.0000000000    0.0000000000    0.1500000000    1.0
        0.0000000000    0.0000000000    0.1000000000    1.0
        0.0000000000    0.0000000000    0.0500000000    1.0
        0.0000000000    0.0000000000    0.0000000000    1.0
